,FC,N,H,Cl,Br,I,P,F,Se,Si,S_sp3,S_sp2,S_sp,C_sp3,C_sp2,C_sp,N_sp3,N_sp2,N_sp,O_sp3,O_sp2,O_sp,I1,I2,I3,SV
0,0.0,236.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,2752.2012805934874,6964.868052584813,8576.96776215521,10000.0
1,0.0,286.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,4394.110074143539,9407.529177431637,13073.077712378723,11.0
2,0.0,190.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1748.6233064778955,3661.572076535576,5241.211550645961,60.0
3,0.0,308.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,11.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,3488.5356927724742,14030.63324741808,16239.891326518204,24.0
4,0.0,284.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,4552.699960644212,8957.965724029005,11597.257193921634,93.0
5,0.0,284.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,4835.846359088351,8149.769332854377,11724.592064590266,130.0
6,0.0,214.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1690.826459869676,6641.644412366404,7889.807859507358,10000.0
7,0.0,276.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,3475.0544984230087,9267.158374437997,11466.95085035772,10.0
8,0.0,198.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1825.7790530527054,4555.157563948176,6209.336589018541,135.0
9,0.0,306.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,4634.505245159531,11302.795066799388,14571.280974423405,3.5
10,0.0,230.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,2571.370447747497,6105.474640610452,8226.835376970299,5.0
11,0.0,276.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,3675.9663202770694,8895.886306103179,11411.957781344721,91.0
12,0.0,260.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,3524.4888845116116,7490.09529485774,10028.36481143755,315.0
13,0.0,266.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,2735.16313897019,9729.755020380377,11546.988931739299,28.0
14,0.0,166.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1182.663711046212,3064.2068007520816,4110.368718009838,10000.0
15,0.0,300.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,11.0,0.0,2.0,4.0,0.0,1.0,5.0,0.0,4103.398877625143,12760.085072316459,14175.9592307697,12.0
16,0.0,268.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,3005.777652118693,9368.69946083469,11423.57657555843,20.0
17,0.0,300.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,11.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,4032.217291754306,12295.065131038387,12949.938256564,63.0
18,0.0,166.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1195.4826182268878,3010.9140327248265,4069.4973975096864,10000.0
19,0.0,276.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,3565.0095590654396,9133.755822929406,11199.961400740975,26.0
20,0.0,300.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,17.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,5610.792503910607,9186.24513412001,13379.1175816792,59.0
21,0.0,276.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,11.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,3662.952397166256,8118.4135693464505,10126.226007647829,9.0
