,FC,N,H,Cl,Br,I,P,F,Se,Si,S_sp3,S_sp2,S_sp,C_sp3,C_sp2,C_sp,N_sp3,N_sp2,N_sp,O_sp3,O_sp2,O_sp,I1,I2,I3,SV
0,0.0,330.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,19.0,0.0,1.0,7.0,0.0,1.0,5.0,0.0,10447.73521734341,15392.607742994702,24108.602465533855,1270.0
1,0.0,214.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1176.0858125911557,8570.531345644187,8892.339817724143,890.0
2,0.0,296.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,7.0,0.0,2.0,5.0,0.0,5066.136140942154,10031.010676380516,10552.065307238849,19.0
3,0.0,260.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2764.897455053417,9241.198940473763,10894.695406690407,50.0
4,0.0,246.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,23.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1939.4129701315699,18333.214308478236,19371.123428870007,10000.0
5,0.0,250.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1907.5178013508298,18974.420516640173,20072.24759122809,10000.0
6,0.0,296.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,14.0,0.0,1.0,8.0,0.0,1.0,5.0,0.0,6428.744721092378,13621.926277380328,18828.24006699636,2500.0
7,0.0,312.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,15.0,0.0,1.0,7.0,0.0,1.0,6.0,0.0,7214.438831764418,8685.952589023682,13856.766861947619,2500.0
8,0.0,304.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,16.0,0.0,1.0,6.0,0.0,1.0,5.0,0.0,3572.6003176552754,16522.078700352224,18477.044059740263,
9,0.0,304.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,15.0,0.0,1.0,7.0,0.0,1.0,5.0,0.0,7677.516727975928,12964.046747306174,19109.644940733473,2500.0
10,0.0,232.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1919.6372734892775,8975.32834306455,10011.612582042624,20400.0
11,0.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1066.061954395882,8364.058474970634,8690.032854287501,1320.0
12,0.0,244.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2069.951353833664,9303.879105812677,10158.437457487811,38.0
13,0.0,258.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1076.8861837695595,25934.8606870698,26169.18331702075,10000.0
14,0.0,296.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,5628.278758117326,12972.654084114401,17166.111385592147,43.0
15,0.0,236.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2367.0047253514545,7032.655553088421,8102.349470910929,160.0
16,0.0,234.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2410.8081141380226,13302.657754886412,14942.599648757268,10000.0
17,0.0,320.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,11185.261689158413,13371.03533803233,22428.07115419495,2500.0
18,0.0,270.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,24.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2449.2771601865734,21849.733183308716,22982.14998972824,10000.0
19,0.0,242.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,923.5121511406197,20720.56367979269,20988.775990072638,10000.0
20,0.0,242.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2167.149676458093,7805.01450205327,9048.075711965372,0.1
21,0.0,178.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,13.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,605.3792416948198,7571.075923417443,8096.506357023517,10000.0
22,0.0,304.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,15.0,0.0,1.0,7.0,0.0,1.0,5.0,0.0,5100.065979548185,12662.464033739616,15431.40058273955,2500.0
23,0.0,260.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2350.126993850944,10576.536608076167,11642.399872377191,10000.0
24,0.0,250.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,802.3686247663537,24369.036402486712,24795.938258145135,10000.0
25,0.0,258.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,3909.6171586408473,14350.11957776445,17599.49431874033,10000.0
26,0.0,312.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,14.0,0.0,1.0,8.0,0.0,1.0,5.0,0.0,4092.5958856746247,15637.239607031044,18106.992410992443,2500.0
27,0.0,316.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,7.0,0.0,1.0,7.0,0.0,4903.079840930624,16742.678883895987,19583.10027621621,16.0
28,0.0,296.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,4497.607551629467,13723.902228902634,16806.04081851239,0.008
29,0.0,236.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1878.3513396286696,9151.86898417029,10424.480936145224,600.0
30,0.0,250.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,4026.38025448701,12098.168825767625,15598.616682189375,10000.0
31,0.0,242.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,2366.7518897106997,16391.49435578001,18066.89334283634,10000.0
32,0.0,254.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,23.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1263.0199149964537,25389.906743406926,25908.905971305012,10000.0
33,0.0,244.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,17.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1534.081229674739,18337.19797748329,19143.90709169721,10000.0
34,0.0,294.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,6762.32973866985,15725.155470213793,21444.637480344318,2500.0
35,0.0,296.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,5384.937596095655,13470.807762389602,17882.875359455957,260.0
36,0.0,288.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,6983.327131101616,12899.685745560717,18864.846801504464,72.0
37,0.0,288.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,3858.785427654627,14573.88533171993,17636.472986252953,310.0
38,0.0,244.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1850.3881512267003,10674.779373187688,11534.990040304421,310.0
39,0.0,236.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2023.3443141887442,8969.686404254091,9891.290601139508,100.0
40,0.0,242.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1624.8693783636313,19277.54195666511,20288.260643241083,10000.0
41,0.0,262.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,17.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2732.935956579229,20718.938121271884,22703.966696435004,10000.0
42,0.0,330.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,19.0,0.0,1.0,7.0,0.0,1.0,5.0,0.0,10589.11711813981,15703.925133828861,24471.959036466847,537.0
43,0.0,202.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,991.4605585250474,9734.767960211757,9941.83150467453,132000.0
44,0.0,198.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1215.9607753214898,8110.72189846024,8702.235502195937,1510.0
45,0.0,258.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1055.8239935300053,26257.03003573293,26906.28987561021,10000.0
46,0.0,276.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1035.2192291252638,33019.99226245784,33465.401950260835,10000.0
47,0.0,234.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1893.4168214678948,14526.97388483423,15875.031823890698,10000.0
48,0.0,196.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,13.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,508.28114682656695,10770.056898635883,11258.64682352299,10000.0
49,0.0,192.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1132.7137125548097,7739.224189591566,8545.796565752127,4900.0
50,0.0,256.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1776.827693052802,23025.579576828328,24200.68659344782,10000.0
51,0.0,232.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,3691.032507869117,7128.4411915814535,9848.5476124425,230000.0
52,0.0,288.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,4816.939208111762,16120.963134749625,20375.771364428325,2500.0
53,0.0,266.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,3131.678917584293,16966.30458967619,18626.73169209318,10000.0
54,0.0,328.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,8596.584140259773,19274.7068349821,26729.373064881598,2500.0
55,0.0,310.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,7.0,0.0,1.0,7.0,0.0,6381.661810213602,15273.81911132723,19214.210723608405,8.3
56,0.0,216.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1428.9257735938754,8092.690257585039,8233.570528508164,13200.0
57,0.0,228.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2291.6197824086876,6123.238032457161,7812.547819982368,130.0
58,0.0,276.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2439.9259410174936,14174.706076510462,15880.188599553152,11300.0
59,0.0,304.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,14.0,0.0,1.0,8.0,0.0,1.0,5.0,0.0,4222.159733235091,11988.055457014336,14822.734424637087,2500.0
60,0.0,206.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3124.5711665773074,4281.945315413068,6732.474746632547,9330.0
61,0.0,234.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2440.9613958058108,10096.661024397878,11620.702399224929,10000.0
62,0.0,224.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,1144.8162282673748,10498.081971256011,10826.639987350949,0.03
